,Predicted_PCE,Predicted_FF,Predicted_Voc,Predicted_Jsc
44,17.340134,76.00133,1.0198528,21.889238
45,14.86811,76.99115,0.84999484,21.32345
46,12.803823,74.99948,0.8399972,20.700775
47,12.521412,73.39885,0.8799934,19.379948
48,14.157513,73.101105,0.94376975,20.542837
49,14.328501,74.01813,0.94716233,20.660395
50,8.381808,72.00058,0.70494545,16.529001
51,6.1496463,62.00141,0.7000117,14.173043
52,0.49992663,42.000935,0.7000117,2.0000892
53,2.6398695,84.00017,0.7800021,1.2704042
54,1.5976169,56.001564,0.7100125,1.2100073
55,0.67045575,47.00215,0.3401066,4.150051
56,0.55399674,46.999756,0.3401066,3.0805132
57,18.250164,92.899345,1.9298664,10.470278
58,18.250164,92.899345,1.9298664,10.470278
59,0.5886314,34.100964,0.19022192,7.2872996
60,0.5003386,32.44877,0.2002107,7.7707334
61,0.6807764,28.902458,0.26015356,9.010263
62,0.5606474,30.25032,0.23016928,8.0794325
63,0.56006765,30.00022,0.24516703,7.57427
64,10.600948,58.998898,1.0699717,16.80983
65,14.706701,65.996124,1.1199586,19.882124
66,5.700152,53.000446,0.7800021,13.700985
67,4.0321383,45.99589,0.6900274,12.3085985
68,7.842044,63.00222,0.71183836,17.482847
69,7.965329,62.010807,0.74671865,17.032995
70,2.765189,53.692966,0.58002824,8.499139
71,16.282387,71.618,1.0708318,21.461185
72,1.200003,38.49286,0.4600563,6.401374
73,1.3880662,42.744923,0.4600563,6.4974875
74,1.7998896,48.00043,0.47005585,7.8977757
75,1.2999411,40.001232,0.48004755,7.1012735
76,1.623054,43.705547,0.4900476,7.502947
77,2.4004855,61.084797,0.4900476,8.100337
78,1.9882487,56.1228,0.5300365,6.793704
79,2.1979015,59.210045,0.5500325,6.6999393
80,2.5859215,59.805443,0.73000854,2.969849
81,1.3004196,37.902298,0.720009,4.7704935
82,1.0614439,34.60206,0.720009,4.25048
83,1.3004196,37.902298,0.720009,4.7704935
84,2.9441774,62.999386,0.720009,2.0000412
85,7.611111,54.049522,0.9199874,19.029882
86,17.044039,69.621124,1.059973,23.248966
87,8.951953,71.00183,1.3600091,9.27027
88,5.7687106,58.03569,0.6665455,14.916536
89,5.723627,55.28887,0.8399972,12.276052
90,3.9330263,51.003105,0.8000006,9.659346
91,8.94588,62.10639,0.7800021,17.733704
92,13.100052,71.273766,0.99998546,17.999495
93,15.149933,71.620285,0.66901433,31.630201
94,12.840628,67.42942,0.66194504,28.778923
95,3.0379355,70.2986,0.66001713,5.599492
96,4.1236973,75.09918,0.7100125,7.201185
97,4.9674635,75.10097,0.7100125,8.799237
98,5.625081,75.09946,0.7100125,10.400476
99,8.231142,75.10095,0.82534486,13.809783
100,5.9966655,55.54192,0.8799934,11.302825
101,6.568524,55.28194,0.8799934,13.651466
102,7.39825,59.80459,0.7600058,16.269331
103,8.283491,59.90234,0.7600058,18.30131
104,15.998396,74.77854,1.0140312,22.15117
105,19.024195,81.69772,1.009985,22.980242
106,24.193598,80.3259,1.1699281,25.799824
107,6.201616,64.00128,0.8899919,11.000564
108,3.4077141,46.999783,0.7800021,9.300619
109,14.646082,60.114605,1.0899639,21.788643
110,19.615664,77.67969,1.1199586,22.548534
111,18.3672,75.22773,1.0899639,22.565552
112,1.9975317,52.999454,0.5340332,7.0989676
113,7.096355,65.00055,0.6453099,17.20083
114,2.4050791,48.000687,0.58705467,8.400865
115,9.225067,66.99561,0.7251846,18.32448
116,6.746789,69.99432,0.73000854,13.210731
117,4.7311964,70.998,0.71667475,9.298444
118,3.497826,47.99783,0.9099916,7.4996986
119,2.502608,47.99688,0.8100018,6.599442
120,2.8140726,45.99033,0.76999956,7.216917
121,3.5981925,53.99891,0.7800021,8.400403
122,2.901976,44.999294,0.7600058,8.200447
123,19.322966,79.02015,1.0799302,22.790358
124,1.5441731,43.000946,0.720009,5.214288
125,2.3378277,57.997154,0.6900274,5.869389
126,2.9821904,60.99987,0.7100125,6.92029
127,3.179785,61.99587,0.7100125,7.2301745
128,3.4287615,62.99982,0.720009,7.6925507
129,3.9635692,65.993614,0.73000854,8.218993
130,2.405161,53.00071,0.7000117,6.418215
131,0.73035824,52.0001,0.74000716,1.9200071
132,1.5713238,41.999676,0.8100018,4.5914655
133,15.197104,76.19977,0.5700305,34.598854
134,15.860218,72.7588,0.8399972,26.066341
135,17.183796,73.47315,0.8599955,27.011662
136,17.68091,74.0506,0.86999446,27.319214
137,17.479618,73.76008,0.8799934,27.000784
138,11.9778,71.9348,0.95998526,17.339956
139,6.15151,60.17882,0.7800021,13.140946
140,16.098146,68.00103,1.0899639,21.761488
141,17.548124,78.29063,1.0812451,20.729733
142,15.628228,77.28625,1.0699717,21.097393
143,12.830006,68.29996,0.49020246,38.319344
144,3.5096667,66.99913,0.5700305,9.340257
145,8.111753,68.00121,0.7500048,16.010578
146,2.7501647,51.00064,0.99998546,5.450727
147,1.900414,31.99953,0.34210002,14.149967
148,3.16055,38.997974,0.8599955,9.539007
149,6.883672,59.00635,0.74000716,16.08269
150,5.2592545,55.00319,0.60002327,16.129837
151,7.2925124,60.001656,0.7500048,16.750473
152,7.278897,60.003075,0.74000716,16.600344
153,5.8229365,51.001873,0.7100125,16.329554
154,7.395529,53.00157,0.8399972,16.799278
155,7.276009,51.99971,0.8399972,16.702005
156,9.863621,60.00064,0.84999484,19.773335
157,6.9813123,55.000847,0.7800021,16.150402
158,12.022055,61.43545,0.9299875,20.533806
159,13.512918,63.374214,0.95998526,21.699793
160,14.690255,66.54182,0.99998546,22.081244
161,16.829948,74.41853,1.0198528,22.178185
162,3.4046988,55.999084,0.9199874,6.351538
163,2.7533717,49.008167,0.8899919,6.5982995
164,3.8093162,47.99931,0.9199874,8.733537
165,23.260574,79.48873,1.1799208,24.787382
166,7.6405272,69.89985,0.73000854,14.981925
167,7.6210833,48.270615,0.8899919,17.81827
168,8.556593,68.08474,0.89999205,16.404757
169,3.4944723,49.99962,0.60002327,9.999353
170,10.035161,54.04912,0.91202885,20.319042
171,16.836895,69.623344,1.0562444,22.9011
172,20.193424,77.40253,1.1497754,22.698305
173,17.203587,71.692,1.0999627,20.578669
174,17.198612,73.40232,1.1099602,21.138212
175,0.730829,67.074234,0.76999956,1.9199473
176,9.882842,63.367786,0.89999205,17.320908
177,13.761559,73.704094,0.8399972,22.159782
178,12.035779,72.84781,0.7800021,21.18158
179,13.798628,62.99991,0.8799934,24.79709
180,10.884258,60.001713,0.8000006,21.69958
181,1.0336037,39.000862,0.6300172,4.200984
182,1.4821283,43.000645,0.6900274,5.0204453
183,1.4982862,49.99981,1.0999703,2.1512296
184,1.7005743,35.0005,1.3600091,3.5699916
185,0.7801736,28.991402,0.84999484,3.147433
186,1.498442,37.000423,1.3998853,3.0000706
